iter	Passed	Remaining
0	4	3875
1	7	3560
2	11	3344
3	14	3269
4	17	3163
5	21	3164
6	24	3137
7	27	3075
8	30	3012
9	33	3015
10	36	2965
11	39	2959
12	42	2930
13	46	2931
14	49	2912
15	52	2927
16	56	2913
17	59	2905
18	62	2890
19	66	2918
20	70	2931
21	73	2917
22	75	2890
23	82	3007
24	86	3013
25	89	2995
26	92	2984
27	95	2967
28	99	2981
29	102	2964
30	105	2962
31	109	2963
32	112	2963
33	115	2942
34	118	2938
35	121	2923
36	124	2913
37	128	2908
38	131	2905
39	134	2887
40	137	2880
41	140	2867
42	143	2857
43	146	2844
44	148	2828
45	151	2819
46	154	2798
47	157	2795
48	160	2779
49	164	2790
50	167	2792
51	172	2816
52	177	2829
53	180	2827
54	183	2816
55	186	2805
56	188	2788
57	191	2779
58	193	2762
59	196	2751
60	198	2736
61	201	2728
62	205	2724
63	207	2714
64	211	2713
65	214	2706
66	218	2711
67	221	2704
68	224	2701
69	227	2692
70	230	2690
71	233	2688
72	236	2680
73	239	2671
74	242	2664
75	245	2658
76	248	2657
77	251	2654
78	254	2648
79	258	2650
80	261	2645
81	264	2642
82	267	2634
83	271	2639
84	274	2629
85	277	2624
86	280	2621
87	283	2617
88	286	2610
89	289	2607
90	292	2602
91	295	2595
92	298	2587
93	300	2575
94	303	2570
95	305	2559
96	308	2550
97	310	2544
98	313	2533
99	316	2530
100	318	2523
101	321	2517
102	324	2507
103	326	2498
104	329	2493
105	331	2484
106	334	2478
107	337	2472
108	339	2465
109	342	2461
110	344	2452
111	348	2449
112	351	2446
113	353	2439
114	357	2438
115	359	2431
116	362	2427
117	365	2423
118	368	2420
119	371	2412
120	373	2404
121	376	2402
122	379	2397
123	382	2394
124	385	2388
125	388	2384
126	390	2376
127	393	2373
128	396	2369
129	398	2362
130	401	2359
131	404	2354
132	408	2353
133	410	2346
134	413	2341
135	416	2338
136	418	2330
137	421	2325
138	424	2323
139	426	2317
140	429	2311
141	431	2305
142	434	2302
143	437	2295
144	440	2291
145	442	2285
146	444	2279
147	447	2275
148	450	2269
149	454	2271
150	456	2266
151	460	2265
152	463	2262
153	466	2259
154	470	2260
155	473	2257
156	476	2253
157	479	2253
158	482	2250
159	485	2247
160	488	2243
161	491	2238
162	494	2235
163	497	2231
164	500	2229
165	503	2224
166	506	2224
167	509	2218
168	511	2211
169	514	2208
170	516	2202
171	519	2198
172	521	2192
173	523	2186
174	527	2184
175	530	2183
176	533	2179
177	536	2174
178	538	2168
179	541	2165
180	544	2162
181	547	2160
182	549	2154
183	552	2151
184	555	2146
185	558	2142
186	561	2139
187	563	2132
188	565	2129
189	568	2123
190	570	2118
191	573	2115
192	576	2112
193	579	2109
194	581	2103
195	584	2100
196	587	2095
197	589	2089
198	591	2084
199	594	2080
200	597	2076
201	600	2073
202	602	2070
203	607	2071
204	609	2068
205	614	2069
206	616	2065
207	619	2062
208	622	2056
209	624	2051
210	626	2047
211	629	2042
212	632	2041
213	635	2036
214	638	2033
215	640	2029
216	643	2024
217	646	2022
218	648	2017
219	651	2013
220	653	2008
221	655	2003
222	658	1999
223	660	1994
224	663	1989
225	666	1986
226	668	1982
227	671	1977
228	674	1976
229	677	1974
230	680	1970
231	682	1965
232	685	1963
233	689	1963
234	693	1961
235	695	1957
236	699	1955
237	704	1958
238	707	1956
239	710	1954
240	713	1950
241	715	1946
242	719	1945
243	722	1941
244	726	1941
245	728	1936
246	731	1934
247	734	1931
248	737	1927
249	739	1922
250	741	1917
251	745	1916
252	748	1914
253	751	1911
254	753	1906
255	756	1901
256	758	1898
257	761	1894
258	766	1896
259	769	1893
260	772	1890
261	777	1894
262	780	1891
263	784	1891
264	796	1908
265	803	1914
266	808	1915
267	813	1917
268	817	1918
269	823	1922
270	827	1920
271	831	1920
272	836	1921
273	840	1921
274	844	1919
275	847	1915
276	850	1913
277	853	1908
278	855	1903
279	857	1899
280	860	1894
281	862	1890
282	865	1887
283	868	1883
284	870	1879
285	873	1875
286	876	1871
287	879	1868
288	882	1865
289	885	1861
290	887	1857
291	890	1853
292	892	1849
293	894	1844
294	897	1841
295	900	1837
296	903	1834
297	906	1831
298	909	1829
299	912	1825
300	916	1823
301	919	1819
302	922	1817
303	925	1813
304	928	1810
305	931	1807
306	933	1803
307	936	1800
308	939	1796
309	941	1792
310	944	1788
311	946	1783
312	949	1780
313	951	1776
314	954	1773
315	957	1769
316	959	1765
317	962	1762
318	965	1757
319	967	1753
320	970	1750
321	973	1746
322	976	1744
323	978	1739
324	980	1734
325	983	1731
326	985	1727
327	988	1723
328	990	1719
329	993	1715
330	995	1711
331	998	1708
332	1002	1706
333	1005	1703
334	1007	1699
335	1010	1696
336	1014	1694
337	1016	1690
338	1018	1685
339	1021	1682
340	1024	1679
341	1027	1675
342	1029	1672
343	1032	1668
344	1034	1664
345	1037	1661
346	1040	1658
347	1043	1654
348	1045	1650
349	1048	1647
350	1050	1643
351	1052	1639
352	1056	1636
353	1059	1633
354	1062	1630
355	1064	1626
356	1067	1623
357	1069	1619
358	1072	1615
359	1075	1613
360	1078	1609
361	1080	1605
362	1082	1601
363	1085	1598
364	1088	1595
365	1090	1590
366	1092	1586
367	1095	1583
368	1097	1579
369	1100	1575
370	1102	1571
371	1104	1567
372	1107	1564
373	1109	1560
374	1111	1556
375	1114	1553
376	1117	1549
377	1119	1546
378	1122	1542
379	1124	1538
380	1127	1535
381	1130	1532
382	1132	1529
383	1135	1525
384	1137	1521
385	1140	1518
386	1142	1514
